sku,unit_cogs,product_name
VV-VITA-90,6.32,Beta Carotin 180K
VV-VITA-50,6.39,Colla-Veg Complex 120K
VV-VITA-111,6.07,Colon Care 120K
VV-VITA-63,4.22,Cordyceps sinensis 120K
VV-VITA-39,5.89,D-Mannose Complex 120K
CW-KVIN-V39Y,8.41,D-Mannose Pulver 250G
VV-VITA-104,5.07,Echinacea (purpurea) Extract 120K
VV-VITA-49,6.7,Eisen Bisglycinat 120K
VV-VITA-102,6.08,Ginkgo Biloba Extrakt (50:1) 180K
VV-VITA-122,4.76,Immu Pro 120K
VV-VITA-129,3.99,Ingwer BIO 120K
VV-VITA-116,5.05,Natürliches Jod BIO aus Kelp Alge 180K
VI-ZU99-SZ0B,4.06,L-Tryptophan 120K
VV-VITA-136,7.26,Light Legs Complex 120K
VV-VITA-109,5.41,Liver Active 120K
VV-VITA-119,5.01,Magnesium + Kalium 180K
VV-VITA-02,4.73,"Mariendistel Extrakt, 120 Kapseln"
VV-VITA-121,7.33,Female Harmony Complex 120K
BJ-E223-8EKW,7.85,Moringa BIO 270K
VV-VITA-86,7.95,MSM Kapseln 365K
VV-ALO-06,7.4,MSM Pulver DOSE 1KG
2R-49NC-R697,6.83,MSM Pulver 1KG
VV-VITA-105,5.56,"Panax ginseng Extrakt, 120 Kapseln"
VV-VITA-115,7.74,Pro Bio Kids 75g
VV-VITA-94,9.5,Pro Bio Kulturenkomplex BIO 60K
NX-CVPF-VCEZ,9.21,Reishi Extrakt 120K
VV-VITA-101,7.77,Rhodiola rosea 120K
VV-VITA-127,7.66,Safran Extrakt 120K
VV-VITA-106,6.92,Schwarzer Knoblauch 120K
VV-VITA-88,8.03,Chlorella BIO + Spirulina BIO 240K
TU-QNYD-JRRX,3.92,Tribulus Terrestris 120K
VV-VITA-38,3.27,Vitamin B Plus 180T
VV-VITA-93,3.85,Vitamin B12 Spray 25ml
VV-VITA-124,8.87,Natürliches Vitamin C BIO 180K
CP-DQMG-RVN9,6.47,Wild Yams + Zink 120K
VV-VITA-107,3.42,Zimt Ceylon Extrakt 120K
VV-VITA-142,8.72,Prostaid 180K
VV-VITA-143,8.99,"Vitamin B12 PLUS, 180 Kapseln"
VV-VITA-57-V,16.78,Hyaluronsäure 180K
VV-VITA-146,6.56,Spirulina BIO 300T
VV-VITA-151,8.09,Female Balance Complex 180K
VV-VITA-153,5.36,Ashwagandha BIO 180K
VV-VITA-155,5.5,Reishi BIO 90K
VV-VITA-157,4.2,Weissdorn BIO 60K
