campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Mushroom Mix Complex;649102044;2.6.2026;cpc;0,31;;318;1;0,395257;0;0,31;0;0;upm4XDXPR;4260557422045;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega 3;626451248;2.6.2026;cpc;0,81;;196;3;1,530612;0;2,43;0;0;upm9KDWAZ;4260557421383;0,81
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Ashwagandha BIO;649076814;2.6.2026;cpc;0,31;;265;3;1,538462;0;0,93;0;0;upmUPLLZH;4260557420676;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Olio di Semi di Chia;641627926;2.6.2026;cpc;0,51;;188;0;0;0;0;0;0;upmK7YWLD;4260557422649;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;649103716;2.6.2026;cpc;0,31;;212;0;0;0;0;0;0;upmKY422A;4260557422212;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Complex;620566101;2.6.2026;cpc;0,51;;162;6;3,703704;0;3,06;0;0;upmUZUHTT;4260557421888;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Magnesio + Potassio;620566099;2.6.2026;cpc;0,51;;147;2;1,360544;0;1,02;0;0;upm32MART;4260557420287;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Omega 3;658752940;2.6.2026;cpc;0,81;;195;1;0,729927;0;0,81;0;0;upm9KDWAZ;4260557421383;0,81
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cysti-Aid Complex;649102998;2.6.2026;cpc;0,31;;168;2;1,5625;0;0,62;0;0;upmTZFCGA;4260557422199;0,31
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Elektrolyte Plus;620596596;2.6.2026;cpc;0,51;;119;2;1,680672;0;1,02;0;0;upmD23XCL;4260557422823;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;629500801;2.6.2026;cpc;1,01;;115;4;3,478261;0;4,04;0;0;upm2XGYDU;4260557422489;1,01
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin;643057199;2.6.2026;cpc;0,31;;130;0;0;0;0;0;0;14250551;4260309484208;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658381497;2.6.2026;cpc;0,51;;103;0;0;0;0;0;0;upmUX2FW3;4260557420638;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658280004;2.6.2026;cpc;0,91;;136;1;1;0;0,91;0;0;upmUX2FW3;4260557420638;0,91
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Riso Rosso Plus;641644118;2.6.2026;cpc;0,51;;92;2;2,173913;0;1,02;0;0;upmDFWTTT;4260557423110;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;649103715;2.6.2026;cpc;0,51;;85;1;1,176471;0;0,51;0;0;upmKY422A;4260557422212;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 ?l;625779008;2.6.2026;cpc;1,71;;85;1;1,190476;0;1,71;0;0;upm9KDWAZ;4260557421383;1,71
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Quercetina Complex;658381383;2.6.2026;cpc;0,51;;82;0;0;0;0;0;0;upmF2AFXC;4260557423509;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Light Legs Complex;658381503;2.6.2026;cpc;0,31;;116;0;0;0;0;0;0;upmD7EWMP;4260557420454;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Bromelina;620571075;2.6.2026;cpc;0,51;;78;0;0;0;0;0;0;upm43HM34;4260557421130;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Serenity Complex;641646664;2.6.2026;cpc;0,51;;77;1;1,298701;0;0,51;0;0;upmZFGPHR;4260557422830;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cholin Bitartrat;658347159;2.6.2026;cpc;0,31;;102;2;2,702703;0;0,62;0;0;upmU9FP9M;4260557423325;0,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Elektrolyte Plus;658280160;2.6.2026;cpc;0,31;;74;1;1,492537;0;0,31;0;0;upmD23XCL;4260557422823;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin;620501440;2.6.2026;cpc;1,01;;67;2;2,985075;0;2,02;0;0;14250551;4260309484208;1,01
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Reflu-X Complex;619682540;2.6.2026;cpc;0,91;;64;1;1,5625;0;0,91;0;0;upm4ZWYPF;4260557420980;0,91
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Astaxantina BIO;649155147;2.6.2026;cpc;0,61;;89;1;1,587302;0;0,61;0;0;upm7GZX42;4260557423165;0,61
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Griffonia Plus;641628925;2.6.2026;cpc;0,51;;62;1;1,612903;0;0,51;0;0;upmHCULGA;4260557422755;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Maca Nera Plus;649149549;2.6.2026;cpc;0,81;;84;1;1,639344;0;0,81;0;0;upmG4PKUG;4260557423042;0,81
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Magnesium Bisglycinat;617842637;2.6.2026;cpc;2,11;;62;2;3,278689;0;4,22;0;0;upmX4LT4H;4260557423257;2,11
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;649077191;2.6.2026;cpc;0,51;;59;1;1,694915;0;0,51;0;0;upm7C9XR2;4260557420836;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Complex;649091773;2.6.2026;cpc;0,31;;86;0;0;0;0;0;0;upmUZUHTT;4260557421888;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray;658334267;2.6.2026;cpc;0,31;;88;0;0;0;0;0;0;14251102;4260557420027;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Lecithin BIO;643093526;2.6.2026;cpc;0,61;;100;1;1,754386;0;0,61;0;0;upm2HFKPC;4260557422021;0,61
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray;658334266;2.6.2026;cpc;0,51;;57;1;1,754386;0;0,51;0;0;14251102;4260557420027;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Prosta-X;658381378;2.6.2026;cpc;1,01;;56;0;0;0;0;0;0;upmKYYZM4;4260557423486;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;641650859;2.6.2026;cpc;1,21;;55;1;1,818182;0;1,21;0;0;upm7FHKKZ;4260557421437;1,21
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Essentials Complex;627592060;2.6.2026;cpc;0,51;;54;1;1,851852;0;0,51;0;0;upmHHT433;4260557421390;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cholin Trio;643092529;2.6.2026;cpc;0,31;;73;2;3,846154;0;0,62;0;0;upm97PFY9;4260557421826;0,31
