campaign;campaignId;date;conversions;impressions;clicks;ctr;cvr;budgetSpend;gmv;roas;productId;ean;cpc
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Papaya BIO;620527447;8.12.2025;;590;4;0,677966;0;1,342857;0;0;upm9HWLUD;4260557421055;0,335714
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B3 (Nicotinamid);643089676;8.12.2025;;526;1;0,190114;0;0,31;0;0;upmUEXHE2;4260557420850;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;643133550;8.12.2025;1;292;4;1,369863;0,342466;1,24;21,9;1766,129032;upmKAXT9Y;4260557422915;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Tropfen;643132496;8.12.2025;;272;2;0,735294;0;0,62;0;0;upmYRCT9P;4260557422908;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;649103716;8.12.2025;;255;1;0,392157;0;0,31;0;0;upmKY422A;4260557422212;0,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;658280177;8.12.2025;;240;6;2,5;0;1,86;0;0;upmKAXT9Y;4260557422915;0,31
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Complex;620566101;8.12.2025;;229;10;4,366812;0;5,1;0;0;upmUZUHTT;4260557421888;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Prosta-X;658381379;8.12.2025;;213;2;0,938967;0;1,22;0;0;upmKYYZM4;4260557423486;0,61
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Tirosina Plus;649142984;8.12.2025;;196;3;1,530612;0;1,53;0;0;upm2FC2LC;4260557422885;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Olio di Semi di Chia;641627926;8.12.2025;;195;3;1,538462;0;1,53;0;0;upmK7YWLD;4260557422649;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Keto Power;658295963;8.12.2025;;182;0;0;0;0;0;0;upmP77L3M;4260557423288;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Riso Rosso Plus;641644118;8.12.2025;;177;7;3,954802;0;3,57;0;0;upmDFWTTT;4260557423110;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray Junior;641622756;8.12.2025;;177;6;3,389831;0;3,06;0;0;upm3RXHUC;4260557422229;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Saccharomyces boulardii;643093285;8.12.2025;;169;0;0;0;0;0;0;upmWDER3T;4260557421949;0
