campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray;658334267;1.4.2026;cpc;0,31;;392;2;0,510204;0;0,62;0;0;14251102;4260557420027;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Omega 3;658752940;1.4.2026;cpc;0,81;;322;3;0,931677;0;2,43;0;0;upm9KDWAZ;4260557421383;0,81
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega 3;626451248;1.4.2026;cpc;0,81;;245;7;2,857143;0;5,67;0;0;upm9KDWAZ;4260557421383;0,81
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Complex;620566101;1.4.2026;cpc;0,51;;170;10;5,882353;0;5,1;0;0;upmUZUHTT;4260557421888;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Multivitamino Spray per Bambini;649081621;1.4.2026;cpc;0,31;;168;0;0;0;0;0;0;upm9ZTF3H;4260557421178;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Collagene Vegano + Acido Ialuronico;658334348;1.4.2026;cpc;1,21;;164;1;0,609756;0;1,21;0;0;upmK3CG99;4260557422656;1,21
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Riso Rosso Plus;641644118;1.4.2026;cpc;0,51;;138;1;0,724638;0;0,51;0;0;upmDFWTTT;4260557423110;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Ashwagandha BIO;649076814;1.4.2026;cpc;0,31;1;138;4;2,919708;25;1,24;21,9;1766,129032;upmUPLLZH;4260557420676;0,31
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Plus 1000 ?g;641650965;1.4.2026;cpc;0,51;;136;7;5,147059;0;3,57;0;0;upmYTFGGU;4260557420522;0,51
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Pulver;658295461;1.4.2026;cpc;1,11;;135;0;0;0;0;0;0;upmX777MU;4260557423363;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici BIO;658296371;1.4.2026;cpc;0,31;;134;0;0;0;0;0;0;14250976;4260557420034;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositolo in Polvere;658296224;1.4.2026;cpc;0,61;;132;0;0;0;0;0;0;upmX777MU;4260557423363;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Ferro;649156048;1.4.2026;cpc;0,31;;132;1;0,763359;0;0,31;0;0;upmGAZP3H;4260557423189;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;649103716;1.4.2026;cpc;0,31;;127;0;0;0;0;0;0;upmKY422A;4260557422212;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658280004;1.4.2026;cpc;0,91;;119;1;0,840336;0;0,91;0;0;upmUX2FW3;4260557420638;0,91
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Prosta-X;658381379;1.4.2026;cpc;0,61;;118;2;1,694915;0;1,22;0;0;upmKYYZM4;4260557423486;0,61
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;649145192;1.4.2026;cpc;1,11;;118;0;0;0;0;0;0;upmKAXT9Y;4260557422915;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici BIO;658296369;1.4.2026;cpc;0,51;;114;1;0,877193;0;0,51;0;0;14250976;4260557420034;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Serenity Complex;649145562;1.4.2026;cpc;0,31;;113;0;0;0;0;0;0;upmZFGPHR;4260557422830;0
LIFETIME_BUDGET_EXCEEDED_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658280003;1.4.2026;cpc;1,11;;105;3;2,857143;0;3,33;0;0;upmUX2FW3;4260557420638;1,11
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 gocce;649144392;1.4.2026;cpc;0,31;;102;1;0,980392;0;0,31;0;0;upmYRCT9P;4260557422908;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658381499;1.4.2026;cpc;0,31;;102;2;1,980198;0;0,62;0;0;upmUX2FW3;4260557420638;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Olio di Semi di Chia;641627926;1.4.2026;cpc;0,51;;101;2;1,980198;0;1,02;0;0;upmK7YWLD;4260557422649;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Griffonia Plus;641628925;1.4.2026;cpc;0,51;;99;1;1,010101;0;0,51;0;0;upmHCULGA;4260557422755;0,51
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;658280177;1.4.2026;cpc;1,41;;93;0;0;0;0;0;0;upmKAXT9Y;4260557422915;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Complex;649076940;1.4.2026;cpc;0,31;;91;0;0;0;0;0;0;upmTYL3Y7;4260557420737;0
