campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega 3;626451248;1.3.2026;cpc;0,81;;566;15;2,654867;0;12,15;0;0;upm9KDWAZ;4260557421383;0,81
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Mushroom Mix Complex;649102044;1.3.2026;cpc;0,31;;532;0;0;0;0;0;0;upm4XDXPR;4260557422045;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;629496626;1.3.2026;cpc;1,01;;260;9;3,461538;0;9,09;0;0;upmUX2FW3;4260557420638;1,01
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Eisen Bisglycinat;643050566;1.3.2026;cpc;0,31;;257;1;0,389105;0;0,31;0;0;14250692;4260309483065;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Complex;658353200;1.3.2026;cpc;0,61;;240;5;2,083333;0;3,05;0;0;upm7PGM77;4260557421765;0,61
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray;658334267;1.3.2026;cpc;0,31;;231;0;0;0;0;0;0;14251102;4260557420027;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Berberin + Schwarzer Knoblauch;658347579;1.3.2026;cpc;0,51;;222;1;0,45045;0;0,51;0;0;upmC4GHAR;4260557421758;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;649145192;1.3.2026;cpc;1,01;;217;6;2,764977;0;6,06;0;0;upmKAXT9Y;4260557422915;1,01
LIFETIME_BUDGET_EXCEEDED_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658280003;1.3.2026;cpc;0,91;;215;7;3,317536;0;6,37;0;0;upmUX2FW3;4260557420638;0,91
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658280004;1.3.2026;cpc;0,71;;206;4;1,941748;0;2,84;0;0;upmUX2FW3;4260557420638;0,71
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Omega 3;658752940;1.3.2026;cpc;0,71;;196;5;2,55102;0;3,55;0;0;upm9KDWAZ;4260557421383;0,71
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;649145075;1.3.2026;cpc;0,81;;193;6;3,108808;0;4,86;0;0;upmKAXT9Y;4260557422915;0,81
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;625778996;1.3.2026;cpc;0,71;;182;13;7,303371;0;9,23;0;0;upmEUZ9F7;4260557421376;0,71
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Plus 1000 ?g;641650965;1.3.2026;cpc;0,51;;174;6;3,448276;0;3,06;0;0;upmYTFGGU;4260557420522;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Riso Rosso Plus;641644118;1.3.2026;cpc;0,51;;169;3;1,775148;0;1,53;0;0;upmDFWTTT;4260557423110;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Bromelina;620571075;1.3.2026;cpc;0,51;;160;5;3,125;0;2,55;0;0;upm43HM34;4260557421130;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici BIO;658296369;1.3.2026;cpc;0,51;;153;3;1,960784;0;1,53;0;0;14250976;4260557420034;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Papaya BIO;620527447;1.3.2026;cpc;0,51;;152;0;0;0;0;0;0;upm9HWLUD;4260557421055;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Colon Care Complex;658353191;1.3.2026;cpc;0,51;;148;2;1,351351;0;1,02;0;0;14250605;4260557420201;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658381497;1.3.2026;cpc;0,51;;144;4;2,777778;0;2,04;0;0;upmUX2FW3;4260557420638;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;641650859;1.3.2026;cpc;1,01;;144;5;3,472222;0;5,05;0;0;upm7FHKKZ;4260557421437;1,01
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Prosta-X;658381379;1.3.2026;cpc;0,61;;141;0;0;0;0;0;0;upmKYYZM4;4260557423486;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici Bambini;658445101;1.3.2026;cpc;1,01;;138;1;0,724638;0;1,01;0;0;14250953;4260557420249;1,01
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Complex;658295457;1.3.2026;cpc;1,51;1;137;8;5,839416;12,5;12,08;30,9;255,794702;upm7PGM77;4260557421765;1,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina C Naturale BIO;649076562;1.3.2026;cpc;1,11;;135;1;0,740741;0;1,11;0;0;upmFY9KW9;4260557420331;1,11
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Johanniskraut mit Passionsblume BIO;658280045;1.3.2026;cpc;0,31;2;135;3;2,222222;66,666667;0,93;87,6;9419,354839;upmYMX3D7;4260557421147;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Olivenblatt (40% Oleuropein);619682203;1.3.2026;cpc;0,51;;134;0;0;0;0;0;0;upmZ43LYR;4260557420898;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Eisen Bisglycinat;620612855;1.3.2026;cpc;0,51;;134;8;6,060606;0;4,08;0;0;14250692;4260309483065;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Digestive Enzymes Complex;649113564;1.3.2026;cpc;0,31;;131;0;0;0;0;0;0;upmP3AFZZ;4260557422533;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Multivitamino Spray per Bambini;649081621;1.3.2026;cpc;0,31;;131;0;0;0;0;0;0;upm9ZTF3H;4260557421178;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Artiglio del Diavolo BIO;649140865;1.3.2026;cpc;0,31;;129;0;0;0;0;0;0;upmDZU3ZG;4260557422854;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658381499;1.3.2026;cpc;0,31;;129;2;1,550388;0;0,62;0;0;upmUX2FW3;4260557420638;0,31
