campaign;campaignId;date;purchase;impressions;clicks;ctr;cvr;budgetSpend;gmv;roas;productId;ean;cpc
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Plus 1000 ?g;649076687;1.11.2025;;343;3;0,874636;0;0,93;0;0;upmYTFGGU;4260557420522;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Prosta-X;658381379;1.11.2025;;257;2;0,77821;0;1,22;0;0;upmKYYZM4;4260557423486;0,61
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;649091298;1.11.2025;;227;3;1,321586;0;0,93;0;0;upm7FHKKZ;4260557421437;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina C Liposomiale;649120758;1.11.2025;;226;1;0,442478;0;0,31;0;0;upm77WEEP;4260557422786;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Folat;643094175;1.11.2025;;224;1;0,446429;0;0,31;0;0;upmZR3PP7;4260557422496;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Tropfen;643132496;1.11.2025;;218;0;0;0;0;0;0;upmYRCT9P;4260557422908;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;649103716;1.11.2025;;210;2;0,952381;0;0,62;0;0;upmKY422A;4260557422212;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;658388299;1.11.2025;;182;1;0,549451;0;0,31;0;0;14250893;4260309481115;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO D Mannosio in Polvere;658352462;1.11.2025;;182;1;0,549451;0;0,31;0;0;14250686;4260309481603;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Astaxantina BIO;649155147;1.11.2025;;157;1;0,636943;0;0,31;0;0;upm7GZX42;4260557423165;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Complex;649091773;1.11.2025;;157;2;1,273885;0;0,62;0;0;upmUZUHTT;4260557421888;0,31
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Multivitamino Spray per Bambini;649081621;1.11.2025;;153;0;0;0;0;0;0;upm9ZTF3H;4260557421178;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;658280177;1.11.2025;;145;5;3,448276;0;1,55;0;0;upmKAXT9Y;4260557422915;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;643133550;1.11.2025;;135;4;2,962963;0;1,24;0;0;upmKAXT9Y;4260557422915;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Tirosina Plus;649142984;1.11.2025;;130;4;3,076923;0;2,04;0;0;upm2FC2LC;4260557422885;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cardo Mariano Plus;649143954;1.11.2025;;125;5;4;0;1,55;0;0;upmR9H2HU;4260557422892;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Keto Power;658295963;1.11.2025;;124;0;0;0;0;0;0;upmP77L3M;4260557423288;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Colina Bitartrato;658296216;1.11.2025;;119;1;0,840336;0;0,31;0;0;upmU9FP9M;4260557423325;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;643085982;1.11.2025;;118;5;4,237288;0;1,55;0;0;upmUX2FW3;4260557420638;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Quercetina Complex;658381384;1.11.2025;1;118;0;0;0,847458;0;26,99;0;upmF2AFXC;4260557423509;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Saccharomyces boulardii;643093285;1.11.2025;;113;2;1,769912;0;0,62;0;0;upmWDER3T;4260557421949;0,31
