campaign;campaignId;date;purchase;impressions;clicks;ctr;cvr;budgetSpend;gmv;roas;productId;ean;cpc
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Bisglicinato;649159286;1.10.2025;;496;11;2,217742;0;3,41;0;0;upmX4LT4H;4260557423257;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Prosta-X;658381379;1.10.2025;;370;4;1,081081;0;1,54;0;0;upmKYYZM4;4260557423486;0,385
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B3 (Nicotinamid);643089676;1.10.2025;;315;0;0;0;0;0;0;upmUEXHE2;4260557420850;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesium Bisglycinat;643231145;1.10.2025;;288;6;2,083333;0;3,06;0;0;upmX4LT4H;4260557423257;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;658388299;1.10.2025;;276;5;1,811594;0;1,55;0;0;14250893;4260309481115;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Reflu-X Complex;643089691;1.10.2025;;250;0;0;0;0;0;0;upm4ZWYPF;4260557420980;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO D Mannosio in Polvere;658352462;1.10.2025;;222;1;0,45045;0;0,31;0;0;14250686;4260309481603;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Plus;658347224;1.10.2025;;185;1;0,540541;0;0,31;0;0;upmKWW3MD;4260557423349;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Complex;620566101;1.10.2025;;184;10;5,434783;0;5,1;0;0;upmUZUHTT;4260557421888;0,51
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Lecithin BIO;643093526;1.10.2025;;172;2;1,162791;0;0,62;0;0;upm2HFKPC;4260557422021;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Collagene Vegano + Acido Ialuronico;658334350;1.10.2025;;167;0;0;0;0;0;0;upmK3CG99;4260557422656;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Eisen Bisglycinat;643077960;1.10.2025;;158;3;1,898734;0;0,93;0;0;14250692;4260309483065;0,31
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Pulver;658295461;1.10.2025;;150;1;0,666667;0;0,31;0;0;upmX777MU;4260557423363;0,31
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;658295948;1.10.2025;;142;0;0;0;0;0;0;upmEUZ9F7;4260557421376;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositolo in Polvere;658296224;1.10.2025;;141;1;0,70922;0;0,31;0;0;upmX777MU;4260557423363;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle Plus;643090107;1.10.2025;;138;1;0,724638;0;0,31;0;0;upmD3U322;4260557421192;0,31
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;641650859;1.10.2025;;138;6;4,347826;0;3,06;0;0;upm7FHKKZ;4260557421437;0,51
