campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Mushroom Mix Complex;649102044;9.5.2026;cpc;0,31;;206;0;0;0;0;0;0;upm4XDXPR;4260557422045;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Ashwagandha BIO;649076814;9.5.2026;cpc;0,31;;159;1;0,699301;0;0,31;0;0;upmUPLLZH;4260557420676;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Omega 3;658752940;9.5.2026;cpc;0,81;;136;1;0,884956;0;0,81;0;0;upm9KDWAZ;4260557421383;0,81
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3 und K2 ?l;658280064;9.5.2026;cpc;1,31;;108;2;1,886792;0;2,62;0;0;upm7FHKKZ;4260557421437;1,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658280004;9.5.2026;cpc;0,91;;140;0;0;0;0;0;0;upmUX2FW3;4260557420638;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega 3;626451248;9.5.2026;cpc;0,81;;93;2;2,150538;0;1,62;0;0;upm9KDWAZ;4260557421383;0,81
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin;643057199;9.5.2026;cpc;0,31;;108;1;1,162791;0;0,31;0;0;14250551;4260309484208;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;649103716;9.5.2026;cpc;0,31;;96;1;1,176471;0;0,31;0;0;upmKY422A;4260557422212;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola rosea Extrakt;643082833;9.5.2026;cpc;0,31;;89;1;1,190476;0;0,31;0;0;14251036;4260557420102;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Astaxantina BIO;649155147;9.5.2026;cpc;0,61;;87;0;0;0;0;0;0;upm7GZX42;4260557423165;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Olio di Semi di Chia;641627926;9.5.2026;cpc;0,51;;76;1;1,315789;0;0,51;0;0;upmK7YWLD;4260557422649;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Complex;620566101;9.5.2026;cpc;0,51;;75;5;6,666667;0;2,55;0;0;upmUZUHTT;4260557421888;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Light Legs Complex;658381503;9.5.2026;cpc;0,31;;82;1;1,408451;0;0,31;0;0;upmD7EWMP;4260557420454;0,31
