campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Prosta-X;658381379;1.2.2026;cpc;0,61;;320;1;0,3125;0;0,61;0;0;upmKYYZM4;4260557423486;0,61
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Eisen Bisglycinat;643050566;1.2.2026;cpc;0,31;;315;2;0,634921;0;0,62;0;0;14250692;4260309483065;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;649103716;1.2.2026;cpc;0,31;;292;0;0;0;0;0;0;upmKY422A;4260557422212;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;649145192;1.2.2026;cpc;0,61;;259;4;1,550388;0;2,44;0;0;upmKAXT9Y;4260557422915;0,61
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray;658334267;1.2.2026;cpc;0,31;;243;4;1,652893;0;1,24;0;0;14251102;4260557420027;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Complex;658353199;1.2.2026;cpc;1,51;1;233;8;3,433476;12,5;12,08;61,8;511,589404;upm7PGM77;4260557421765;1,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;658388299;1.2.2026;cpc;0,31;;219;2;0,913242;0;0,62;0;0;14250893;4260309481115;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray Junior;641622756;1.2.2026;cpc;0,51;;219;8;3,652968;0;4,08;0;0;upm3RXHUC;4260557422229;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici BIO;658296371;1.2.2026;cpc;0,31;;193;2;1,036269;0;0,62;0;0;14250976;4260557420034;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Folat;643094175;1.2.2026;cpc;0,31;;192;1;0,520833;0;0,31;0;0;upmZR3PP7;4260557422496;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Complex;658353200;1.2.2026;cpc;0,61;;191;1;0,52356;0;0,61;0;0;upm7PGM77;4260557421765;0,61
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray;658334266;1.2.2026;cpc;0,51;;189;7;3,703704;0;3,57;0;0;14251102;4260557420027;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Quercetina Complex;658381383;1.2.2026;cpc;0,51;;180;2;1,111111;0;1,02;0;0;upmF2AFXC;4260557423509;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici BIO;658296369;1.2.2026;cpc;0,51;;175;5;2,857143;0;2,55;0;0;14250976;4260557420034;0,51
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Tropfen;643132496;1.2.2026;cpc;0,31;;174;0;0;0;0;0;0;upmYRCT9P;4260557422908;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 gocce;649144392;1.2.2026;cpc;0,31;;174;3;1,724138;0;0,93;0;0;upmYRCT9P;4260557422908;0,31
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici Bambini;658445101;1.2.2026;cpc;1,01;;168;0;0;0;0;0;0;14250953;4260557420249;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Astaxantina BIO;649155147;1.2.2026;cpc;0,41;;160;1;0,625;0;0,41;0;0;upm7GZX42;4260557423165;0,41
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Riso Rosso Plus;641644118;1.2.2026;cpc;0,51;;152;3;1,973684;0;1,53;0;0;upmDFWTTT;4260557423110;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO D Mannosio in Polvere;658352462;1.2.2026;cpc;0,31;;151;4;2,649007;0;1,24;0;0;14250686;4260309481603;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;643093981;1.2.2026;cpc;0,71;;143;1;0,699301;0;0,71;0;0;upmKY422A;4260557422212;0,71
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina K2;658296233;1.2.2026;cpc;0,31;;143;4;2,797203;0;1,24;0;0;upmFYFHAU;4260557423424;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Riso Rosso Plus;649150541;1.2.2026;cpc;0,31;;141;2;1,41844;0;0,62;0;0;upmDFWTTT;4260557423110;0,31
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Eisen Bisglycinat;620612855;1.2.2026;cpc;0,51;;144;9;6,569343;0;4,59;0;0;14250692;4260309483065;0,51
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Tirosina Plus;649142984;1.2.2026;cpc;0,51;;137;8;5,839416;0;4,08;0;0;upm2FC2LC;4260557422885;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Olivenblatt (40% Oleuropein);625773302;1.2.2026;cpc;0,51;1;133;1;0,75188;100;0,51;25,9;5078,431373;upmZ43LYR;4260557420898;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;641650859;1.2.2026;cpc;0,51;;131;3;2,290076;0;1,53;0;0;upm7FHKKZ;4260557421437;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Papaya BIO;658295837;1.2.2026;cpc;0,51;;129;2;1,550388;0;1,02;0;0;upm9HWLUD;4260557421055;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ferro;658331730;1.2.2026;cpc;0,51;1;125;4;3,2;25;2,04;21,99;1077,941176;14250692;4260309483065;0,51
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 gocce;641629767;1.2.2026;cpc;0,51;;124;6;4,83871;0;3,06;0;0;upmYRCT9P;4260557422908;0,51
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Collagene Vegano + Acido Ialuronico;658334350;1.2.2026;cpc;0,61;;122;2;1,639344;0;1,22;0;0;upmK3CG99;4260557422656;0,61
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray Junior;649103717;1.2.2026;cpc;0,31;;115;0;0;0;0;0;0;upm3RXHUC;4260557422229;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega 3;626451248;1.2.2026;cpc;0,71;;114;13;11,403509;0;9,23;0;0;upm9KDWAZ;4260557421383;0,71
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ferro;641650716;1.2.2026;cpc;0,51;;113;1;0,884956;0;0,51;0;0;upmGAZP3H;4260557423189;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO D Mannosio Complex;658381391;1.2.2026;cpc;1,51;;113;4;3,539823;0;6,04;0;0;14250640;4260309482747;1,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Bisglicinato;649159286;1.2.2026;cpc;0,51;;112;2;1,785714;0;1,02;0;0;upmX4LT4H;4260557423257;0,51
