campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Berberin + Schwarzer Knoblauch;658347579;5.1.2026;cpc;0,51;1;168;5;2,97619;20;2,55;24,9;976,470588;upmC4GHAR;4260557421758;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Papaya BIO;620527447;5.1.2026;cpc;0,51;;163;1;0,613497;0;0,51;0;0;upm9HWLUD;4260557421055;0,51
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 + ADEK ?l;620542953;5.1.2026;cpc;0,51;;159;3;1,886792;0;1,53;0;0;upmH3T374;4260557423004;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;629496626;5.1.2026;cpc;0,51;;137;2;1,459854;0;1,02;0;0;upmUX2FW3;4260557420638;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Multivitamin Spray Junior;649171519;5.1.2026;cpc;0,51;;127;0;0;0;0;0;0;upm9ZTF3H;4260557421178;0
LIFETIME_BUDGET_EXCEEDED_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Oregano ?l BIO;618496728;5.1.2026;cpc;1,01;;123;4;3,252033;0;4,04;0;0;upmYCXAL7;4260557421932;1,01
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;620538813;5.1.2026;cpc;0,51;;116;1;0,862069;0;0,51;0;0;upmKAXT9Y;4260557422915;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Colon Care Complex;627014864;5.1.2026;cpc;0,51;;112;4;3,571429;0;2,04;0;0;14250605;4260557420201;0,51
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle BIO;620536701;5.1.2026;cpc;0,51;;109;0;0;0;0;0;0;upmDZU3ZG;4260557422854;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Taurin Plus;620551671;5.1.2026;cpc;0,51;;90;1;1,111111;0;0,51;0;0;upmXXW9XA;4260557423059;0,51
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Gaba Plus;618496730;5.1.2026;cpc;1,01;;89;3;3,370787;0;3,03;0;0;upmF2EMKH;4260557421185;1,01
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Knoblauch Plus;620530228;5.1.2026;cpc;0,51;;80;0;0;0;0;0;0;upm2WRLPU;4260557422632;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Hagebutte BIO;619682810;5.1.2026;cpc;0,51;;80;4;5;0;2,04;0;0;upmWRWWCG;4260557421048;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Echinacea Plus;620564961;5.1.2026;cpc;0,51;;77;6;7,894737;0;3,06;0;0;upmPHKX9F;4260557423141;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cholin Trio;618496729;5.1.2026;cpc;1,01;;68;5;7,352941;0;5,05;0;0;upm97PFY9;4260557421826;1,01
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Glutathion Complex;620547083;5.1.2026;cpc;0,51;;64;2;3,125;0;1,02;0;0;upmLCF24D;4260557423035;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Johanniskraut mit Passionsblume BIO;619687826;5.1.2026;cpc;0,51;;62;2;3,225806;0;1,02;0;0;upmYMX3D7;4260557421147;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO D-Mannose Complex;619660802;5.1.2026;cpc;1,51;;59;0;0;0;0;0;0;14250640;4260309482747;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;629500801;5.1.2026;cpc;1,01;;58;1;1,724138;0;1,01;0;0;upm2XGYDU;4260557422489;1,01
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle Plus;619697372;5.1.2026;cpc;0,51;1;57;2;3,508772;50;1,02;39,8;3901,960784;upmD3U322;4260557421192;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Mariendistel Plus;652868156;5.1.2026;cpc;1,01;;51;0;0;0;0;0;0;upmR9H2HU;4260557422892;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Natural Jod BIO;619661620;5.1.2026;cpc;0,51;;50;0;0;0;0;0;0;14250769;4260557420256;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO BIO Astaxanthin ?l;618496738;5.1.2026;cpc;1,01;;49;0;0;0;0;0;0;upm7GZX42;4260557423165;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Junior;619721771;5.1.2026;cpc;0,51;;48;0;0;0;0;0;0;upm3RXHUC;4260557422229;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Black Maca Plus;620502588;5.1.2026;cpc;1,51;;47;1;2,12766;0;1,51;0;0;upmG4PKUG;4260557423042;1,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Harmony Complex;629496627;5.1.2026;cpc;0,51;;45;0;0;0;0;0;0;upmUFEEWW;4260557420300;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Pro Bio Kulturenkomplex;618496725;5.1.2026;cpc;0,51;;42;0;0;0;0;0;0;14250976;4260557420034;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Eisen Bisglycinat;620565118;5.1.2026;cpc;0,51;;42;5;11,904762;0;2,55;0;0;14250692;4260309483065;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Folat;620502829;5.1.2026;cpc;0,51;;39;1;2,564103;0;0,51;0;0;upmZR3PP7;4260557422496;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola rosea Extrakt;619660946;5.1.2026;cpc;1,01;;37;2;5,405405;0;2,02;0;0;14251036;4260557420102;1,01
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver;620565741;5.1.2026;cpc;1,01;;36;1;2,777778;0;1,01;0;0;upmWCKTTE;4260309481214;1,01
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Light Legs Complex;658347560;5.1.2026;cpc;1,01;;36;0;0;0;0;0;0;upmD7EWMP;4260557420454;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Astaxanthin ?l;619716956;5.1.2026;cpc;0,51;;36;0;0;0;0;0;0;upmYPTY2W;4260557421925;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Pro Bio Kids BIO;618496726;5.1.2026;cpc;0,51;;36;1;2,777778;0;0,51;0;0;14250953;4260557420249;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Glutamin Pulver;620565039;5.1.2026;cpc;0,51;;36;0;0;0;0;0;0;upmUPTFMH;4260557423233;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Plus;658347207;5.1.2026;cpc;1,01;;35;2;5,714286;0;2,02;0;0;upmKWW3MD;4260557423349;1,01
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO ZMA (Zink + Magnesium + Vitamin B6);617842639;5.1.2026;cpc;1,51;;33;2;6,060606;0;3,02;0;0;upmRXLDAR;4260557422465;1,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;629497502;5.1.2026;cpc;0,51;;33;0;0;0;0;0;0;upmKY422A;4260557422212;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO D-Mannose Pulver;619660673;5.1.2026;cpc;1,51;;32;0;0;0;0;0;0;14250686;4260309481603;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO OPC Trio;620554337;5.1.2026;cpc;0,51;;32;0;0;0;0;0;0;upmWFGGMG;4260557423097;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Collagen+Hyaluronic Acid;620530762;5.1.2026;cpc;0,51;;29;0;0;0;0;0;0;upmK3CG99;4260557422656;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glycin Pulver;658347478;5.1.2026;cpc;1,51;;29;0;0;0;0;0;0;upmTGWG29;4260557423479;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Bromelain 2400 GDU/g;619684531;5.1.2026;cpc;0,51;;27;2;7,407407;0;1,02;0;0;upm43HM34;4260557421130;0,51
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Tropfen;619721768;5.1.2026;cpc;0,51;;26;0;0;0;0;0;0;upmYRCT9P;4260557422908;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Leinsamen?l BIO;629497213;5.1.2026;cpc;0,51;;26;0;0;0;0;0;0;upmKU4FAU;4260557422038;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vision Care Complex;619678178;5.1.2026;cpc;0,51;;25;0;0;0;0;0;0;upmWRPTR4;4260557420867;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Safran Extrakt;629496623;5.1.2026;cpc;1,01;;25;0;0;0;0;0;0;upm7PELE9;4260557420362;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin C liposomal;619662437;5.1.2026;cpc;0,51;;24;0;0;0;0;0;0;upm77WEEP;4260557422786;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Citrullin Plus;620530089;5.1.2026;cpc;0,51;;23;1;4,347826;0;0,51;0;0;upmTF7MFK;4260557422625;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Tryptophan;619660835;5.1.2026;cpc;2,02;;22;0;0;0;0;0;0;14250841;4260309481108;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Schwarzer Knoblauch;619660954;5.1.2026;cpc;0,51;;22;0;0;0;0;0;0;14251059;4260557420157;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;620501456;5.1.2026;cpc;0,51;;22;0;0;0;0;0;0;upmGPMUEM;4260557422427;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;620501459;5.1.2026;cpc;0,51;;20;0;0;0;0;0;0;upm7C9XR2;4260557420836;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glycin Pulver;620530024;5.1.2026;cpc;1,01;;20;0;0;0;0;0;0;upmR9H4DE;4260557422595;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Nattokinase;620565077;5.1.2026;cpc;0,51;;19;0;0;0;0;0;0;upm2ZL4CL;4260557423264;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Black Maca + Tribulus;620502535;5.1.2026;cpc;1,51;;18;1;5,555556;0;1,51;0;0;upmEK72LX;4260557422434;1,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Nachtkerzen und Borretsch?l BIO;619715142;5.1.2026;cpc;0,51;1;18;2;11,111111;50;1,02;24,9;2441,176471;upm7KTFPH;4260557421420;0,51
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Immu Pro Complex;618496727;5.1.2026;cpc;0,51;;18;0;0;0;0;0;0;upm7EAAWM;4260557420317;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Serenity;620539276;5.1.2026;cpc;0,51;;17;0;0;0;0;0;0;upmZFGPHR;4260557422830;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B3 (Nicotinamid);619677908;5.1.2026;cpc;0,51;;17;1;5,882353;0;0,51;0;0;upmUEXHE2;4260557420850;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glucomannan BIO;658283040;5.1.2026;cpc;0,51;;16;0;0;0;0;0;0;upmLXEUT7;4260557423240;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Roter Reis Plus;620557805;5.1.2026;cpc;0,51;;16;0;0;0;0;0;0;upmDFWTTT;4260557423110;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Resveratrol + Nicotinamid;619676602;5.1.2026;cpc;0,51;;16;0;0;0;0;0;0;upmGDDD7G;4260557420805;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Keto Power;658283042;5.1.2026;cpc;0,51;;16;0;0;0;0;0;0;upmP77L3M;4260557423288;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;628844146;5.1.2026;cpc;0,51;;15;0;0;0;0;0;0;14250893;4260309481115;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Rosskastanie Plus BIO;619708788;5.1.2026;cpc;0,51;1;15;1;6,666667;100;0,51;25,9;5078,431373;upmUR4ZK4;4260557421239;0,51
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Colla-Veg;652876996;5.1.2026;cpc;0,51;;15;0;0;0;0;0;0;14250775;4260309483089;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin;620501440;5.1.2026;cpc;1,01;1;15;1;6,666667;100;1,01;20,9;2069,306931;14250551;4260309484208;1,01
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;618496719;5.1.2026;cpc;0,51;;14;0;0;0;0;0;0;upmE39PTR;NOT_FOUND;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Quercetin Komplex;658469903;5.1.2026;cpc;1,01;;13;1;7,692308;0;1,01;0;0;upmF2AFXC;4260557423509;1,01
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Elektrolyte Plus;617842699;5.1.2026;cpc;0,51;;13;1;7,692308;0;0,51;0;0;upmD23XCL;4260557422823;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO BCAA Pulver Mango;658445052;5.1.2026;cpc;2,01;;13;0;0;0;0;0;0;upmWWWMYX;4260557423523;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ingwer BIO;619663942;5.1.2026;cpc;0,51;;13;0;0;0;0;0;0;upmPX4TPU;4260557420386;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Triphala BIO;619677150;5.1.2026;cpc;0,51;;12;1;8,333333;0;0,51;0;0;upmGL239Y;4260557420812;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Shilajit Mumijo;619715133;5.1.2026;cpc;0,51;;12;1;8,333333;0;0,51;0;0;upmR33A3P;4260557421406;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver DOSE;619660893;5.1.2026;cpc;1,01;;11;0;0;0;0;0;0;upmTLUPGT;4260309483881;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Digestive Enzymes;652865271;5.1.2026;cpc;0,51;;11;0;0;0;0;0;0;upmP3AFZZ;4260557422533;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Cherry;629516457;5.1.2026;cpc;0,51;;11;0;0;0;0;0;0;14251102;4260557420027;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Griffonia;658283046;5.1.2026;cpc;1,01;;11;0;0;0;0;0;0;upmG7RZLC;4260557423318;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin C BIO aus Acerola;619663712;5.1.2026;cpc;0,51;;10;0;0;0;0;0;0;upmFY9KW9;4260557420331;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B Plus;619721747;5.1.2026;cpc;0,51;;10;0;0;0;0;0;0;14251094;4260309482754;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Apple Cider Vinegar;620564988;5.1.2026;cpc;0,51;;10;0;0;0;0;0;0;upmUTDZP9;4260557423158;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Astragalus BIO;625748178;5.1.2026;cpc;1,01;;9;0;0;0;0;0;0;upmCGKMCH;4260557421222;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Liver Active Complex;619661159;5.1.2026;cpc;0,51;1;9;1;11,111111;100;0,51;23,9;4686,27451;14250812;4260557420188;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Koffein;620560659;5.1.2026;cpc;0,51;;9;0;0;0;0;0;0;upm4XZRWY;4260557423127;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Saw palmetto + Pygeum africanum;653775300;5.1.2026;cpc;0,51;;9;1;11,111111;0;0,51;0;0;upmMPKDE7;4260557422311;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO BIO Mushroom Mix;620545551;5.1.2026;cpc;0,51;;9;0;0;0;0;0;0;upmALDCEH;4260557423028;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Eisen Gummies;620564999;5.1.2026;cpc;0,51;;9;1;11,111111;0;0,51;0;0;upmGAZP3H;4260557423189;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Wild Yams + Zink;619660532;5.1.2026;cpc;0,51;;8;0;0;0;0;0;0;14251183;4260309481672;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Mushroom Mix Complex;620546918;5.1.2026;cpc;0,51;;8;0;0;0;0;0;0;upm4XDXPR;4260557422045;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Youth Biotics;658469892;5.1.2026;cpc;1,01;;8;0;0;0;0;0;0;upmW7Y7DL;4260557423462;0
