campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Mushroom Mix Complex;649102044;1.5.2026;cpc;0,31;;335;0;0;0;0;0;0;upm4XDXPR;4260557422045;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Ashwagandha BIO;649076814;1.5.2026;cpc;0,31;;228;1;0,555556;0;0,31;0;0;upmUPLLZH;4260557420676;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega 3;626451248;1.5.2026;cpc;0,81;1;174;7;4,022989;14,285714;5,67;25,9;456,790123;upm9KDWAZ;4260557421383;0,81
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Astaxantina BIO;649155147;1.5.2026;cpc;0,61;;156;0;0;0;0;0;0;upm7GZX42;4260557423165;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Complex;620566101;1.5.2026;cpc;0,51;;134;4;2,985075;0;2,04;0;0;upmUZUHTT;4260557421888;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Omega 3;658752940;1.5.2026;cpc;0,81;;182;1;0,78125;0;0,81;0;0;upm9KDWAZ;4260557421383;0,81
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Collagen+Hyaluronic Acid;658347622;1.5.2026;cpc;1,41;;115;1;0,869565;0;1,41;0;0;upmK3CG99;4260557422656;1,41
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin;643057199;1.5.2026;cpc;0,31;;134;1;0,925926;0;0,31;0;0;14250551;4260309484208;0,31
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 ?l;625779008;1.5.2026;cpc;1,71;;102;1;0,990099;0;1,71;0;0;upm9KDWAZ;4260557421383;1,71
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Elektrolyte Plus;620596596;1.5.2026;cpc;0,51;;78;2;2,564103;0;1,02;0;0;upmD23XCL;4260557422823;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;620501459;1.5.2026;cpc;0,51;;78;1;1,282051;0;0,51;0;0;upm7C9XR2;4260557420836;0,51
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658280004;1.5.2026;cpc;0,91;;99;1;1,369863;0;0,91;0;0;upmUX2FW3;4260557420638;0,91
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Eisen Bisglycinat;643050566;1.5.2026;cpc;0,31;;101;0;0;0;0;0;0;14250692;4260309483065;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658381499;1.5.2026;cpc;0,31;;109;0;0;0;0;0;0;upmUX2FW3;4260557420638;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;658280057;1.5.2026;cpc;0,61;;86;0;0;0;0;0;0;upmEUZ9F7;4260557421376;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Olio di Semi di Chia;641627926;1.5.2026;cpc;0,51;;69;2;2,898551;0;1,02;0;0;upmK7YWLD;4260557422649;0,51
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;620501456;1.5.2026;cpc;0,51;;69;3;4,347826;0;1,53;0;0;upmGPMUEM;4260557422427;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3 und K2 ?l;658280064;1.5.2026;cpc;1,31;;67;5;7,462687;0;6,55;0;0;upm7FHKKZ;4260557421437;1,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;649103716;1.5.2026;cpc;0,31;;88;0;0;0;0;0;0;upmKY422A;4260557422212;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Prosta-X;658381379;1.5.2026;cpc;0,61;;85;0;0;0;0;0;0;upmKYYZM4;4260557423486;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ferro;658331730;1.5.2026;cpc;0,51;;64;1;1,5625;0;0,51;0;0;14250692;4260309483065;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;629496626;1.5.2026;cpc;1,21;1;62;2;3,225806;50;2,42;27,9;1152,892562;upmUX2FW3;4260557420638;1,21
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;629500801;1.5.2026;cpc;1,01;;62;4;6,451613;0;4,04;0;0;upm2XGYDU;4260557422489;1,01
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Astaxantina;649092862;1.5.2026;cpc;0,41;;75;0;0;0;0;0;0;upmYPTY2W;4260557421925;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Tirosina Plus;649143283;1.5.2026;cpc;0,31;;83;0;0;0;0;0;0;upm2FC2LC;4260557422885;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray;658334267;1.5.2026;cpc;0,31;;71;1;1,639344;0;0,31;0;0;14251102;4260557420027;0,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Elektrolyte Plus;658280160;1.5.2026;cpc;0,31;;65;1;1,694915;0;0,31;0;0;upmD23XCL;4260557422823;0,31
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Tirosina Plus;649142984;1.5.2026;cpc;0,51;;57;2;3,508772;0;1,02;0;0;upm2FC2LC;4260557422885;0,51
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene Plus;649106236;1.5.2026;cpc;0,31;;68;0;0;0;0;0;0;upmGPMUEM;4260557422427;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;643094174;1.5.2026;cpc;0,31;;61;0;0;0;0;0;0;upm2XGYDU;4260557422489;0
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;620605197;1.5.2026;cpc;0,51;;56;3;5,454545;0;1,53;0;0;upmGPMUEM;4260557422427;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glicina in Polvere;658296353;1.5.2026;cpc;0,31;;76;0;0;0;0;0;0;upmTGWG29;4260557423479;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola rosea Extrakt;643082833;1.5.2026;cpc;0,31;;60;2;3,703704;0;0,62;0;0;14251036;4260557420102;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Complex;620567054;1.5.2026;cpc;0,51;;53;1;1,886792;0;0,51;0;0;upmTYL3Y7;4260557420737;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Complex;625786532;1.5.2026;cpc;1,01;;58;4;7,54717;0;4,04;0;0;upm7PGM77;4260557421765;1,01
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Leinsamen?l BIO;658280092;1.5.2026;cpc;0,51;;52;0;0;0;0;0;0;upmKU4FAU;4260557422038;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Light Legs Complex;658381503;1.5.2026;cpc;0,31;;69;0;0;0;0;0;0;upmD7EWMP;4260557420454;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray;658334266;1.5.2026;cpc;0,51;;50;0;0;0;0;0;0;14251102;4260557420027;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Collagene Vegano + Acido Ialuronico;658334348;1.5.2026;cpc;1,21;;48;0;0;0;0;0;0;upmK3CG99;4260557422656;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;649145075;1.5.2026;cpc;0,91;;48;0;0;0;0;0;0;upmKAXT9Y;4260557422915;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Collagen+Hyaluronic Acid;620530762;1.5.2026;cpc;1,51;;47;0;0;0;0;0;0;upmK3CG99;4260557422656;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Multivitamin Spray Junior;649171519;1.5.2026;cpc;0,51;;47;0;0;0;0;0;0;upm9ZTF3H;4260557421178;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Lecithin BIO;658280090;1.5.2026;cpc;0,71;;58;0;0;0;0;0;0;upm2HFKPC;4260557422021;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Magnesium Bisglycinat;617842637;1.5.2026;cpc;2,11;;47;3;6,382979;0;6,33;0;0;upmX4LT4H;4260557423257;2,11
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cysti-Aid Complex;649102998;1.5.2026;cpc;0,31;;64;1;2,173913;0;0,31;0;0;upmTZFCGA;4260557422199;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Bromelina;620571075;1.5.2026;cpc;0,51;;46;0;0;0;0;0;0;upm43HM34;4260557421130;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Prostaid Complex;658727261;1.5.2026;cpc;1,31;;50;1;2,173913;0;1,31;0;0;upmCEE43U;4260557420515;1,31
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;626442372;1.5.2026;cpc;1,51;;46;0;0;0;0;0;0;upmKAXT9Y;4260557422915;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;641650859;1.5.2026;cpc;1,21;;45;2;4,444444;0;2,42;0;0;upm7FHKKZ;4260557421437;1,21
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;658280177;1.5.2026;cpc;1,41;;56;0;0;0;0;0;0;upmKAXT9Y;4260557422915;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;658295946;1.5.2026;cpc;0,91;;44;3;6,818182;0;2,73;0;0;upmEUZ9F7;4260557421376;0,91
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cordyceps;658334303;1.5.2026;cpc;0,31;;51;1;2,272727;0;0,31;0;0;14250611;4260309483218;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Complex;658295457;1.5.2026;cpc;1,71;;44;0;0;0;0;0;0;upm7PGM77;4260557421765;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B3 (Nicotinamid);658280014;1.5.2026;cpc;0,51;;107;0;0;0;0;0;0;upmUEXHE2;4260557420850;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin;620501440;1.5.2026;cpc;1,01;;44;2;4,545455;0;2,02;0;0;14250551;4260309484208;1,01
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 ?l;620545279;1.5.2026;cpc;1,71;;43;2;4,651163;0;3,42;0;0;upm9KDWAZ;4260557421383;1,71
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Maca Nera Plus;649149549;1.5.2026;cpc;0,81;;61;0;0;0;0;0;0;upmG4PKUG;4260557423042;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Artiglio del Diavolo Plus;620572756;1.5.2026;cpc;0,51;;42;0;0;0;0;0;0;upmD3U322;4260557421192;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Collagene Vegano + Acido Ialuronico;658334350;1.5.2026;cpc;0,81;;64;0;0;0;0;0;0;upmK3CG99;4260557422656;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin;620605193;1.5.2026;cpc;1,01;;42;3;7,317073;0;3,03;0;0;14250551;4260309484208;1,01
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Papaya BIO;620527447;1.5.2026;cpc;0,51;;40;0;0;0;0;0;0;upm9HWLUD;4260557421055;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene Plus;641622772;1.5.2026;cpc;0,51;;40;1;2,5;0;0,51;0;0;upmGPMUEM;4260557422427;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Essentials Complex;620605288;1.5.2026;cpc;0,51;;39;1;2,564103;0;0,51;0;0;upmHHT433;4260557421390;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Complex;649091773;1.5.2026;cpc;0,31;;69;0;0;0;0;0;0;upmUZUHTT;4260557421888;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Liver Active Complex;625768092;1.5.2026;cpc;0,51;;39;0;0;0;0;0;0;14250812;4260557420188;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle Plus;619697372;1.5.2026;cpc;0,51;;38;1;2,631579;0;0,51;0;0;upmD3U322;4260557421192;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO BIO Astaxanthin ?l;618496738;1.5.2026;cpc;1,41;;38;2;5,263158;0;2,82;0;0;upm7GZX42;4260557423165;1,41
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3 und K2 ?l;652853552;1.5.2026;cpc;1,31;;38;0;0;0;0;0;0;upm7FHKKZ;4260557421437;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Light Legs Complex;658381501;1.5.2026;cpc;0,51;;38;2;5,263158;0;1,02;0;0;upmD7EWMP;4260557420454;0,51
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Taurin Plus;620551671;1.5.2026;cpc;0,51;;38;1;2,631579;0;0,51;0;0;upmXXW9XA;4260557423059;0,51
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 gocce;641629767;1.5.2026;cpc;0,51;;38;0;0;0;0;0;0;upmYRCT9P;4260557422908;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Lecithin BIO;643093526;1.5.2026;cpc;0,61;;46;0;0;0;0;0;0;upm2HFKPC;4260557422021;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;641650857;1.5.2026;cpc;0,51;;37;1;2,702703;0;0,51;0;0;upmKAXT9Y;4260557422915;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Junior;619721771;1.5.2026;cpc;0,51;;36;0;0;0;0;0;0;upm3RXHUC;4260557422229;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;620538813;1.5.2026;cpc;1,51;;36;1;2,777778;0;1,51;0;0;upmKAXT9Y;4260557422915;1,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Prosta-X;658381378;1.5.2026;cpc;1,01;;36;6;16,666667;0;6,06;0;0;upmKYYZM4;4260557423486;1,01
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Tryptophan;625767437;1.5.2026;cpc;0,51;;51;1;2,777778;0;0,51;0;0;14250841;4260309481108;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Multivitamin Spray Junior;625777201;1.5.2026;cpc;0,51;;36;2;5,555556;0;1,02;0;0;upm9ZTF3H;4260557421178;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;625778996;1.5.2026;cpc;0,81;;35;1;2,857143;0;0,81;0;0;upmEUZ9F7;4260557421376;0,81
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Igname Selvatico +  Zinco;658353187;1.5.2026;cpc;0,51;;35;0;0;0;0;0;0;14251183;4260309481672;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cardo Mariano;658352468;1.5.2026;cpc;0,31;;56;0;0;0;0;0;0;upmGMGWYP;4260309481979;0
